MLS,Location, Price ,Bedrooms,Bathrooms, Size (m2) ,Status,Status_Code,,,,,,,,,,,
132842,Arroyo Grande,"$795,000.00 ",3,3,220.3,Short Sale,0,,,,,,,,,,,
134364,Paso Robles,"$399,000.00 ",4,3,261.8,Short Sale,0,,,,,,,,,,,
135141,Paso Robles,"$545,000.00 ",4,3,281.7,Short Sale,0,,,,,,,,,,,
135712,Morro Bay,"$909,000.00 ",4,4,328.9,Short Sale,0,,,,,,,,,,,
136282,Santa Maria-Orcutt,"$109,900.00 ",3,1,116,Short Sale,0,,,,,,,,,,,
136431,Oceano,"$324,900.00 ",3,3,167.2,Short Sale,0,,,,,,,,,,,
137036,Santa Maria-Orcutt,"$192,900.00 ",4,2,148.9,Short Sale,0,,,,,,,,,,,
137090,Santa Maria-Orcutt,"$215,000.00 ",3,2,134.7,Short Sale,0,,,,,,,,,,,
137159,Morro Bay,"$999,000.00 ",4,3,312.2,Short Sale,0,,,,,,,,,,,
137570,Atascadero,"$319,000.00 ",3,2,122.9,Short Sale,0,,,,,,,,,,,
138053,Santa Maria-Orcutt,"$350,000.00 ",3,2,162.6,Short Sale,0,,,,,,,,,,,
138730,Santa Maria-Orcutt,"$249,000.00 ",3,2,130.1,Short Sale,0,,,,,,,,,,,
139291,Arroyo Grande,"$299,000.00 ",2,2,116.8,Short Sale,0,,,,,,,,,,,
139427,Santa Maria-Orcutt,"$235,900.00 ",3,2,130.1,Short Sale,0,,,,,,,,,,,
139461,Santa Maria-Orcutt,"$348,000.00 ",3,2,148.6,Short Sale,0,,,,,,,,,,,
139661,Paso Robles,"$314,000.00 ",4,3,166.7,Short Sale,0,,,,,,,,,,,
139918,Los Alamos,"$399,000.00 ",4,2,171.9,Short Sale,0,,,,,,,,,,,
139932,San Miguel,"$599,000.00 ",3,3,274.1,Short Sale,0,,,,,,,,,,,
140044,Paso Robles,"$299,000.00 ",3,2,159.7,Short Sale,0,,,,,,,,,,,
140073,San Luis Obispo,"$425,000.00 ",3,3,136.8,Short Sale,0,,,,,,,,,,,
140077,Morro Bay,"$1,100,000.00 ",4,3,387.2,Short Sale,0,,,,,,,,,,,
140080,Cayucos,"$1,500,000.00 ",3,3,360.5,Short Sale,0,,,,,,,,,,,
140113,Santa Maria-Orcutt,"$110,000.00 ",2,1,92.9,Short Sale,0,,,,,,,,,,,
140395,Santa Maria-Orcutt,"$200,000.00 ",3,2,105.8,Short Sale,0,,,,,,,,,,,
140460,Santa Maria-Orcutt,"$134,900.00 ",3,1,100.3,Short Sale,0,,,,,,,,,,,
140703,Santa Maria-Orcutt,"$250,000.00 ",4,3,185.8,Short Sale,0,,,,,,,,,,,
140720,Pismo Beach,"$950,000.00 ",3,4,178.4,Short Sale,0,,,,,,,,,,,
140731,Santa Maria-Orcutt,"$239,950.00 ",4,2,125.2,Short Sale,0,,,,,,,,,,,
141188,Santa Maria-Orcutt,"$170,000.00 ",3,2,118.9,Short Sale,0,,,,,,,,,,,
141212,Santa Maria-Orcutt,"$285,000.00 ",3,2,223,Short Sale,0,,,,,,,,,,,
141232,Santa Maria-Orcutt,"$279,000.00 ",3,3,157.9,Short Sale,0,,,,,,,,,,,
141529,Santa Maria-Orcutt,"$219,000.00 ",3,2,148.6,Short Sale,0,,,,,,,,,,,
141541,Santa Maria-Orcutt,"$155,000.00 ",3,2,97.5,Short Sale,0,,,,,,,,,,,
141737,Atascadero,"$389,000.00 ",3,2,131.5,Short Sale,0,,,,,,,,,,,
141847,Nipomo,"$340,000.00 ",3,1,103.1,Short Sale,0,,,,,,,,,,,
141869,Guadalupe,"$95,000.00 ",2,1,74,Short Sale,0,,,,,,,,,,,
142216,Santa Maria-Orcutt,"$140,000.00 ",2,2,102.2,Short Sale,0,,,,,,,,,,,
142340,Pismo Beach,"$1,100,000.00 ",3,3,241.7,Short Sale,0,,,,,,,,,,,
142442,Santa Maria-Orcutt,"$360,000.00 ",4,3,218.4,Short Sale,0,,,,,,,,,,,
142528,Morro Bay,"$415,000.00 ",3,3,125.4,Short Sale,0,,,,,,,,,,,
142539,Santa Maria-Orcutt,"$250,000.00 ",4,2,112,Short Sale,0,,,,,,,,,,,
142585,Santa Maria-Orcutt,"$559,000.00 ",3,3,244.1,Short Sale,0,,,,,,,,,,,
142818,Nipomo,"$525,000.00 ",3,3,219.7,Short Sale,0,,,,,,,,,,,
142829,Los Osos,"$779,000.00 ",3,3,277.8,Short Sale,0,,,,,,,,,,,
142870,Arroyo Grande,"$595,000.00 ",3,2,162.6,Short Sale,0,,,,,,,,,,,
142977,Templeton,"$1,150,000.00 ",4,5,511,Short Sale,0,,,,,,,,,,,
143037,Templeton,"$550,000.00 ",3,2,172.1,Short Sale,0,,,,,,,,,,,
143155,Grover Beach,"$500,000.00 ",3,2,195.1,Short Sale,0,,,,,,,,,,,
143170,Santa Maria-Orcutt,"$279,000.00 ",4,3,239.7,Short Sale,0,,,,,,,,,,,
143178,Santa Maria-Orcutt,"$375,000.00 ",4,2,182.4,Short Sale,0,,,,,,,,,,,
143217,Santa Maria-Orcutt,"$330,000.00 ",3,3,176.5,Short Sale,0,,,,,,,,,,,
143252,Santa Maria-Orcutt,"$199,000.00 ",3,3,134.7,Short Sale,0,,,,,,,,,,,
143255,Santa Maria-Orcutt,"$165,000.00 ",2,2,92.9,Short Sale,0,,,,,,,,,,,
143436,Templeton,"$1,399,000.00 ",4,3,603.9,Foreclosure,1,,,,,,,,,,,
143507,Santa Maria-Orcutt,"$255,000.00 ",3,2,113.2,Short Sale,0,,,,,,,,,,,
143524,Cambria,"$325,000.00 ",2,2,83,Short Sale,0,,,,,,,,,,,
143534,Morro Bay,"$789,000.00 ",3,3,195.1,Foreclosure,1,,,,,,,,,,,
143540,Nipomo,"$498,000.00 ",4,3,217.5,Short Sale,0,,,,,,,,,,,
143884,Nipomo,"$430,000.00 ",4,2,201.4,Short Sale,0,,,,,,,,,,,
143946,Paso Robles,"$539,900.00 ",4,3,281.7,Short Sale,0,,,,,,,,,,,
144204,Pismo Beach,"$499,000.00 ",3,2,120.1,Short Sale,0,,,,,,,,,,,
144238,Los Osos,"$275,000.00 ",3,2,111.5,Short Sale,0,,,,,,,,,,,
144312,Santa Maria-Orcutt,"$499,000.00 ",3,4,209,Short Sale,0,,,,,,,,,,,
144314,Morro Bay,"$899,000.00 ",3,3,225.8,Foreclosure,1,,,,,,,,,,,
144316,Morro Bay,"$1,045,000.00 ",3,3,195.1,Foreclosure,1,,,,,,,,,,,
144318,Morro Bay,"$774,000.00 ",2,2,144,Foreclosure,1,,,,,,,,,,,
144370,Santa Maria-Orcutt,"$239,000.00 ",3,3,167.2,Short Sale,0,,,,,,,,,,,
144380,Santa Maria-Orcutt,"$195,000.00 ",3,2,113.2,Short Sale,0,,,,,,,,,,,
144788,Grover Beach,"$325,000.00 ",2,1,71.3,Short Sale,0,,,,,,,,,,,
144815,Nipomo,"$320,000.00 ",4,2,179.2,Short Sale,0,,,,,,,,,,,
144896,Santa Maria-Orcutt,"$275,000.00 ",4,3,174.4,Short Sale,0,,,,,,,,,,,
145087,Paso Robles,"$329,000.00 ",3,2,157.9,Short Sale,0,,,,,,,,,,,
145138,Santa Maria-Orcutt,"$140,000.00 ",3,2,100.3,Short Sale,0,,,,,,,,,,,
145309,Paso Robles,"$409,000.00 ",4,3,203.6,Short Sale,0,,,,,,,,,,,
145448,Santa Maria-Orcutt,"$167,900.00 ",3,2,120.4,Foreclosure,1,,,,,,,,,,,
145471,Nipomo,"$325,000.00 ",7,5,249.7,Short Sale,0,,,,,,,,,,,
145726,Santa Maria-Orcutt,"$119,000.00 ",1,1,83.6,Short Sale,0,,,,,,,,,,,
145745,Santa Maria-Orcutt,"$245,000.00 ",4,2,137.7,Short Sale,0,,,,,,,,,,,
145789,Santa Maria-Orcutt,"$259,900.00 ",3,2,160.4,Short Sale,0,,,,,,,,,,,
145850,Arroyo Grande,"$495,000.00 ",3,2,138.1,Short Sale,0,,,,,,,,,,,
145952,San Luis Obispo,"$399,000.00 ",4,2,143.3,Short Sale,0,,,,,,,,,,,
146040,Santa Maria-Orcutt,"$329,700.00 ",4,2,127,Short Sale,0,,,,,,,,,,,
146110,Atascadero,"$199,000.00 ",1,1,66.1,Short Sale,0,,,,,,,,,,,
146130,Santa Maria-Orcutt,"$149,000.00 ",3,2,96.6,Short Sale,0,,,,,,,,,,,
146144,Paso Robles,"$225,000.00 ",3,2,135.3,Short Sale,0,,,,,,,,,,,
146149,Santa Maria-Orcutt,"$195,000.00 ",2,1,75.3,Short Sale,0,,,,,,,,,,,
146212,Paso Robles,"$359,900.00 ",3,3,181.3,Short Sale,0,,,,,,,,,,,
146223,Templeton,"$799,000.00 ",4,4,288,Short Sale,0,,,,,,,,,,,
146282,San Luis Obispo,"$595,000.00 ",3,2,196.7,Short Sale,0,,,,,,,,,,,
146302,Paso Robles,"$89,000.00 ",3,2,144.9,Short Sale,0,,,,,,,,,,,
146310,Santa Maria-Orcutt,"$129,900.00 ",3,1,96.8,Short Sale,0,,,,,,,,,,,
146320,Los Osos,"$375,000.00 ",3,3,141.1,Short Sale,0,,,,,,,,,,,
146423,Atascadero,"$599,000.00 ",3,2,257.7,Short Sale,0,,,,,,,,,,,
146496,Paso Robles,"$235,000.00 ",3,2,124.5,Short Sale,0,,,,,,,,,,,
146537,Santa Maria-Orcutt,"$255,900.00 ",3,2,133.8,Foreclosure,1,,,,,,,,,,,
146544,Santa Maria-Orcutt,"$148,900.00 ",5,2,98.8,Short Sale,0,,,,,,,,,,,
146581,Arroyo Grande,"$749,000.00 ",3,2,199.3,Short Sale,0,,,,,,,,,,,
146597,Santa Maria-Orcutt,"$189,900.00 ",3,2,136.8,Foreclosure,1,,,,,,,,,,,
146649,Paso Robles,"$183,000.00 ",3,1,82.5,Short Sale,0,,,,,,,,,,,
146667,Santa Maria-Orcutt,"$232,600.00 ",3,3,147,Short Sale,0,,,,,,,,,,,
146773,Cambria,"$520,000.00 ",3,2,156.1,Short Sale,0,,,,,,,,,,,
146790,Solvang,"$355,000.00 ",3,3,158.1,Foreclosure,1,,,,,,,,,,,
146797,Pismo Beach,"$275,000.00 ",0,1,37,Short Sale,0,,,,,,,,,,,
146888,Santa Maria-Orcutt,"$225,000.00 ",4,3,180.2,Short Sale,0,,,,,,,,,,,
146986,Santa Maria-Orcutt,"$161,900.00 ",3,2,111.5,Short Sale,0,,,,,,,,,,,
147094,Santa Maria-Orcutt,"$249,999.00 ",3,3,187,Short Sale,0,,,,,,,,,,,
147167,Santa Maria-Orcutt,"$208,000.00 ",2,1,117.7,Short Sale,0,,,,,,,,,,,
147214,Guadalupe,"$135,000.00 ",3,1,102.2,Short Sale,0,,,,,,,,,,,
147216,San Luis Obispo,"$385,000.00 ",2,3,129,Short Sale,0,,,,,,,,,,,
147240,Atascadero,"$750,000.00 ",4,4,314.7,Foreclosure,1,,,,,,,,,,,
147241,Atascadero,"$810,000.00 ",4,3,307,Foreclosure,1,,,,,,,,,,,
147249,Atascadero,"$890,000.00 ",4,5,392.9,Foreclosure,1,,,,,,,,,,,
147253,Atascadero,"$895,000.00 ",4,3,341.5,Foreclosure,1,,,,,,,,,,,
147374,San Miguel,"$229,900.00 ",3,2,135.5,Short Sale,0,,,,,,,,,,,
147440,Grover Beach,"$240,000.00 ",2,2,94.8,Short Sale,0,,,,,,,,,,,
147450,Atascadero,"$429,000.00 ",4,3,233.5,Foreclosure,1,,,,,,,,,,,
147570,Santa Maria-Orcutt,"$399,000.00 ",4,3,260.1,Short Sale,0,,,,,,,,,,,
147586,Santa Maria-Orcutt,"$385,000.00 ",3,2,185.8,Short Sale,0,,,,,,,,,,,
147603,Paso Robles,"$294,900.00 ",3,2,122.3,Foreclosure,1,,,,,,,,,,,
147611,Paso Robles,"$399,000.00 ",3,2,113.3,Short Sale,0,,,,,,,,,,,
147620,Santa Maria-Orcutt,"$269,000.00 ",3,3,165.4,Short Sale,0,,,,,,,,,,,
147654,Cambria,"$449,000.00 ",3,3,197,Short Sale,0,,,,,,,,,,,
147761,Arroyo Grande,"$555,900.00 ",5,3,273.8,Foreclosure,1,,,,,,,,,,,
147767,Paso Robles,"$319,900.00 ",4,2,198.3,Foreclosure,1,,,,,,,,,,,
147819,Cambria,"$332,000.00 ",4,4,173.9,Foreclosure,1,,,,,,,,,,,
147876,Bradley,"$499,000.00 ",4,5,315.9,Short Sale,0,,,,,,,,,,,
147948,Paso Robles,"$432,000.00 ",4,3,289.2,Short Sale,0,,,,,,,,,,,
148070,Arroyo Grande,"$199,000.00 ",2,1,76.8,Short Sale,0,,,,,,,,,,,
148168,Santa Maria-Orcutt,"$29,000.00 ",2,2,139.4,Foreclosure,1,,,,,,,,,,,
148195,Atascadero,"$299,000.00 ",3,2,118,Short Sale,0,,,,,,,,,,,
148289,Santa Maria-Orcutt,"$259,000.00 ",4,3,172.5,Short Sale,0,,,,,,,,,,,
148318,Los Osos,"$99,000.00 ",1,1,50,Short Sale,0,,,,,,,,,,,
148324,Avila Beach,"$779,000.00 ",2,2,113.6,Foreclosure,1,,,,,,,,,,,
148325,Avila Beach,"$839,000.00 ",2,2,113.6,Foreclosure,1,,,,,,,,,,,
148384,Santa Ynez,"$525,000.00 ",3,2,162.2,Short Sale,0,,,,,,,,,,,
148399,Santa Ynez,"$795,000.00 ",3,2,194.4,Short Sale,0,,,,,,,,,,,
148472,Santa Maria-Orcutt,"$337,000.00 ",4,2,185.8,Short Sale,0,,,,,,,,,,,
148519,Oceano,"$164,900.00 ",2,1,69.7,Foreclosure,1,,,,,,,,,,,
148622,San Luis Obispo,"$449,000.00 ",2,3,153.3,Short Sale,0,,,,,,,,,,,
148624,Guadalupe,"$94,000.00 ",2,2,74,Foreclosure,1,,,,,,,,,,,
148638,Pismo Beach,"$899,000.00 ",3,3,210.5,Short Sale,0,,,,,,,,,,,
148736,Santa Maria-Orcutt,"$180,000.00 ",3,2,118.9,Short Sale,0,,,,,,,,,,,
148744,Bradley,"$194,900.00 ",3,2,101.5,Foreclosure,1,,,,,,,,,,,
148757,Los Osos,"$350,000.00 ",3,2,140.2,Short Sale,0,,,,,,,,,,,
148806,King City,"$167,770.00 ",3,3,166.6,Foreclosure,1,,,,,,,,,,,
148842,Creston,"$309,900.00 ",3,2,158.4,Foreclosure,1,,,,,,,,,,,
148881,Templeton,"$479,000.00 ",2,3,195.1,Short Sale,0,,,,,,,,,,,
148961,Los Alamos,"$350,000.00 ",3,2,147,Short Sale,0,,,,,,,,,,,
